local_hour,FGR,Total
0,-0.005764346549761649,-0.005764346549761649
1,-0.006786059965189085,-0.006786059965189085
2,-0.007606907672429918,-0.007606907672429918
3,-0.008835145348576144,-0.008835145348576144
4,-0.010845406812830298,-0.010845406812830298
5,-0.016133524512200334,-0.016133524512200334
6,-0.018618250106130517,-0.018618250106130517
7,-0.01203314329824219,-0.01203314329824219
8,0.007471657580830429,0.007471657580830429
9,0.014780825069471029,0.014780825069471029
10,0.00867557876978872,0.00867557876978872
11,0.0033368659251796213,0.0033368659251796213
12,-0.00024022203209126146,-0.00024022203209126146
13,-0.00028540994900436286,-0.00028540994900436286
14,0.0006546895149185619,0.0006546895149185619
15,0.0007690496916294398,0.0007690496916294398
16,-0.0004974560840612478,-0.0004974560840612478
17,-0.0012340307179298012,-0.0012340307179298012
18,-0.007286027777037768,-0.007286027777037768
19,-0.014280557081313825,-0.014280557081313825
20,-0.006344234104524789,-0.006344234104524789
21,-0.006170263895847321,-0.006170263895847321
22,-0.00617491440611944,-0.00617491440611944
23,-0.004866008695263571,-0.004866008695263571
