local_hour,FSA,Total
0,1.0690812296667542e-05,1.0690812296667542e-05
1,-9.55556021365629e-10,-9.55556021365629e-10
2,-0.0002266852839036033,-0.0002266852839036033
3,-0.0025068873013994676,-0.0025068873013994676
4,-0.010530772419150425,-0.010530772419150425
5,-0.01547291235909412,-0.01547291235909412
6,-0.006715252882393368,-0.006715252882393368
7,-0.004994823708604069,-0.004994823708604069
8,0.001812401505042955,0.001812401505042955
9,0.010455640842964757,0.010455640842964757
10,-0.000958795483850561,-0.000958795483850561
11,0.01006647656575043,0.01006647656575043
12,0.022154189009617516,0.022154189009617516
13,0.026148886992023834,0.026148886992023834
14,0.024510466999457792,0.024510466999457792
15,0.02393207790374417,0.02393207790374417
16,0.019562918688699037,0.019562918688699037
17,0.01003925752895143,0.01003925752895143
18,0.006473639394831062,0.006473639394831062
19,-0.0037645644184344756,-0.0037645644184344756
20,-0.0008825793703081831,-0.0008825793703081831
21,-0.0024762988324518067,-0.0024762988324518067
22,-7.172980969152217e-05,-7.172980969152217e-05
23,4.4774064774135784e-05,4.4774064774135784e-05
