local_hour,FSH,Total
0,-0.00882541135654871,-0.00882541135654871
1,-0.01295760548591048,-0.01295760548591048
2,-0.013235101972270564,-0.013235101972270564
3,-0.0126378309087208,-0.0126378309087208
4,-0.0098999035062187,-0.0098999035062187
5,-0.017287846154576816,-0.017287846154576816
6,-0.01631673895695442,-0.01631673895695442
7,-0.0032932000189564523,-0.0032932000189564523
8,0.009204200501802678,0.009204200501802678
9,0.001199648962421696,0.001199648962421696
10,-0.0010988169588167685,-0.0010988169588167685
11,-0.006790711656904287,-0.006790711656904287
12,-0.007599448808789087,-0.007599448808789087
13,-0.008287269574285116,-0.008287269574285116
14,-0.005169524755443708,-0.005169524755443708
15,-0.0023231693929241224,-0.0023231693929241224
16,0.0005341499662260418,0.0005341499662260418
17,0.0007138939899130881,0.0007138939899130881
18,-0.0003279218444668168,-0.0003279218444668168
19,-0.007255771246610353,-0.007255771246610353
20,-0.003953514863598004,-0.003953514863598004
21,-0.004914255591026242,-0.004914255591026242
22,-0.007709148127994239,-0.007709148127994239
23,-0.006966337152763834,-0.006966337152763834
