local_hour,HEAT_FROM_AC,Total
0,-0.00011098025270072547,-0.00011098025270072547
1,-6.313525874272634e-05,-6.313525874272634e-05
2,1.6520051370348748e-05,1.6520051370348748e-05
3,9.474970290072903e-05,9.474970290072903e-05
4,6.29386699012531e-05,6.29386699012531e-05
5,-7.756006811155478e-05,-7.756006811155478e-05
6,-0.00044087236600989766,-0.00044087236600989766
7,-0.00014514448743984315,-0.00014514448743984315
8,-0.00032185747682724917,-0.00032185747682724917
9,-8.481552812984165e-05,-8.481552812984165e-05
10,0.00017663674828237143,0.00017663674828237143
11,0.00048665918262575,0.00048665918262575
12,0.0009373767028391562,0.0009373767028391562
13,0.0013748278338405375,0.0013748278338405375
14,0.0014343297741860972,0.0014343297741860972
15,0.0011109361970442458,0.0011109361970442458
16,0.000989798118772916,0.000989798118772916
17,0.0009203193395880459,0.0009203193395880459
18,0.0010046033933222374,0.0010046033933222374
19,0.0008448159082871179,0.0008448159082871179
20,0.0001557762050001598,0.0001557762050001598
21,-8.230131943614195e-05,-8.230131943614195e-05
22,8.174327469095974e-05,8.174327469095974e-05
23,4.269233646858193e-05,4.269233646858193e-05
