local_hour,SOILWATER_10CM,Total
0,-0.02678511223487093,-0.02678511223487093
1,-0.025905884115536414,-0.025905884115536414
2,-0.024347704345964918,-0.024347704345964918
3,-0.020944718862084204,-0.020944718862084204
4,-0.01609656105495595,-0.01609656105495595
5,-0.010727527958560442,-0.010727527958560442
6,-0.018765914821881405,-0.018765914821881405
7,-0.029563636644969384,-0.029563636644969384
8,-0.018855793382622076,-0.018855793382622076
9,-0.002879392410625101,-0.002879392410625101
10,0.01312735093176009,0.01312735093176009
11,0.009079292606824548,0.009079292606824548
12,0.006866212504646174,0.006866212504646174
13,0.006708601131533862,0.006708601131533862
14,0.005030480248548611,0.005030480248548611
15,0.00026251355373522605,0.00026251355373522605
16,-0.0035002661212705593,-0.0035002661212705593
17,-0.0017900719043132767,-0.0017900719043132767
18,-0.005730433027386041,-0.005730433027386041
19,-0.01681044504695611,-0.01681044504695611
20,-0.03478543815394252,-0.03478543815394252
21,-0.032452123631698214,-0.032452123631698214
22,-0.0297375122348604,-0.0297375122348604
23,-0.028550838320048164,-0.028550838320048164
