local_hour,U10,Total
0,-0.016316767922766665,-0.016316767922766665
1,-0.016550421626945554,-0.016550421626945554
2,-0.01661391854329668,-0.01661391854329668
3,-0.01453679186718896,-0.01453679186718896
4,-0.006990066151000984,-0.006990066151000984
5,0.005235469879643562,0.005235469879643562
6,0.016577149566114457,0.016577149566114457
7,0.0299829809467602,0.0299829809467602
8,0.02799014334411564,0.02799014334411564
9,0.016068857203433626,0.016068857203433626
10,-0.004500531949892013,-0.004500531949892013
11,-0.006638389025541147,-0.006638389025541147
12,-0.008246386595886461,-0.008246386595886461
13,-0.008739791236447185,-0.008739791236447185
14,-0.009202218712850114,-0.009202218712850114
15,-0.009333531563361024,-0.009333531563361024
16,-0.00848712786036454,-0.00848712786036454
17,-0.009050919584311137,-0.009050919584311137
18,-0.010345229930794788,-0.010345229930794788
19,-0.015271008166560709,-0.015271008166560709
20,-0.019523733737755525,-0.019523733737755525
21,-0.01864949353509109,-0.01864949353509109
22,-0.017645076953186713,-0.017645076953186713
23,-0.01668310960053254,-0.01668310960053254
