local_hour,HEAT_FROM_AC,Total
0,0.0005692056889957933,0.0005692056889957933
1,0.0007008807948989888,0.0007008807948989888
2,0.000712782548465314,0.000712782548465314
3,0.0005104393175435368,0.0005104393175435368
4,-5.364260001839365e-05,-5.364260001839365e-05
5,-0.0011391429344313477,-0.0011391429344313477
6,-0.0021804008142194253,-0.0021804008142194253
7,-0.0005500461233029087,-0.0005500461233029087
8,-0.0006598620221088277,-0.0006598620221088277
9,-0.000554101977667186,-0.000554101977667186
10,-0.0006904573804754974,-0.0006904573804754974
11,-0.00048746192798120074,-0.00048746192798120074
12,-0.0003386929650330363,-0.0003386929650330363
13,-0.0005011531648921863,-0.0005011531648921863
14,-0.0004300558780086929,-0.0004300558780086929
15,-0.00042601375156808743,-0.00042601375156808743
16,-0.0005549029272563218,-0.0005549029272563218
17,-0.0008649646911128408,-0.0008649646911128408
18,-0.0019625791562842268,-0.0019625791562842268
19,-0.003529176894274643,-0.003529176894274643
20,-0.000800028344643094,-0.000800028344643094
21,0.00019892548343189702,0.00019892548343189702
22,0.0005772724743046048,0.0005772724743046048
23,0.0005154384571297852,0.0005154384571297852
