local_hour,SOILWATER_10CM,Total
0,0.010404091487321724,0.010404091487321724
1,0.010146152469251178,0.010146152469251178
2,0.009731371929082239,0.009731371929082239
3,0.007968624637634689,0.007968624637634689
4,0.006224392160141516,0.006224392160141516
5,0.004116651320190365,0.004116651320190365
6,0.007086226118883963,0.007086226118883963
7,0.010562655765214013,0.010562655765214013
8,0.007300815137666576,0.007300815137666576
9,-0.0012324308304477345,-0.0012324308304477345
10,-0.00651058654947548,-0.00651058654947548
11,-0.006238154994179512,-0.006238154994179512
12,-0.005562937464950754,-0.005562937464950754
13,-0.0038450708870610526,-0.0038450708870610526
14,-0.002524996735634382,-0.002524996735634382
15,-0.0009683626763655488,-0.0009683626763655488
16,-0.0010553271130679916,-0.0010553271130679916
17,-0.0009022586783185862,-0.0009022586783185862
18,0.0005671570397519947,0.0005671570397519947
19,0.00478219165624845,0.00478219165624845
20,0.012568696337293518,0.012568696337293518
21,0.013159404150532447,0.013159404150532447
22,0.01180971940810641,0.01180971940810641
23,0.011438967652301403,0.011438967652301403
