local_hour,U10,Total
0,0.025263435710176824,0.025263435710176824
1,0.027423918459498434,0.027423918459498434
2,0.02929929885186529,0.02929929885186529
3,0.029439773098788875,0.029439773098788875
4,0.024462808366688023,0.024462808366688023
5,0.013585177878172235,0.013585177878172235
6,-0.014737858272927453,-0.014737858272927453
7,-0.024600391155234314,-0.024600391155234314
8,-0.013698408802786033,-0.013698408802786033
9,-0.002888414390897585,-0.002888414390897585
10,-0.009559755307841292,-0.009559755307841292
11,-0.00029369554337439394,-0.00029369554337439394
12,0.002938005831392752,0.002938005831392752
13,0.0043447181956106406,0.0043447181956106406
14,0.005179822426224142,0.005179822426224142
15,0.005894968858391081,0.005894968858391081
16,0.00542140400008766,0.00542140400008766
17,0.00556759634816006,0.00556759634816006
18,0.006747760182001596,0.006747760182001596
19,0.011105880887263095,0.011105880887263095
20,0.019690643352940955,0.019690643352940955
21,0.02411256019523029,0.02411256019523029
22,0.02622813200586391,0.02622813200586391
23,0.02648445795692341,0.02648445795692341
