local_hour,FSH,Total
0,-0.0178107415057336,-0.0178107415057336
1,-0.01857451486119034,-0.01857451486119034
2,-0.021120493997051494,-0.021120493997051494
3,-0.02286977268985244,-0.02286977268985244
4,-0.023732834882786106,-0.023732834882786106
5,-0.017279731017312262,-0.017279731017312262
6,-0.006252724825409158,-0.006252724825409158
7,-0.003082040267831304,-0.003082040267831304
8,-0.004133690711408754,-0.004133690711408754
9,0.002507589379700876,0.002507589379700876
10,0.00705827867618892,0.00705827867618892
11,0.003389186914716398,0.003389186914716398
12,0.003770495047717065,0.003770495047717065
13,0.0019463837390855249,0.0019463837390855249
14,0.0025649898116508175,0.0025649898116508175
15,0.0022463234345523535,0.0022463234345523535
16,0.001530642667466812,0.001530642667466812
17,0.0017549737528759536,0.0017549737528759536
18,0.0022469836769580167,0.0022469836769580167
19,-0.012049254575115357,-0.012049254575115357
20,-0.02945060136417122,-0.02945060136417122
21,-0.028454003205363326,-0.028454003205363326
22,-0.027493515089564626,-0.027493515089564626
23,-0.02427639008247167,-0.02427639008247167
