local_hour,Double_Differencing_Q2M,hw_nohw_diff_Q2M,Total
0,-3.768614e-05,-0.00014270833,-0.00018039448
1,-3.484029e-05,-0.00012659673,-0.00016143703
2,-3.3024106e-05,-0.00011942696,-0.00015245106
3,-2.5244879e-05,-0.000101238315,-0.0001264832
4,-7.904988e-06,-8.729299e-05,-9.5197975e-05
5,-1.7657388e-06,-0.00010031388,-0.00010207962
6,-0.00015595407,5.9385548e-05,-9.656852e-05
7,-0.00046740426,0.00034176113,-0.00012564313
8,-0.00058958377,0.00045695007,-0.0001326337
9,-0.0004216502,0.00030740417,-0.00011424604
10,-0.00023149367,2.8807606e-05,-0.00020268606
11,-0.00014727008,-0.00018261354,-0.00032988362
12,-0.000105302315,-0.0003379919,-0.0004432942
13,-6.124222e-05,-0.00043422356,-0.00049546576
14,-5.1714596e-05,-0.00045554995,-0.0005072645
15,-6.763907e-05,-0.00041205413,-0.0004796932
16,-9.799857e-05,-0.00034562236,-0.00044362093
17,-0.00015136022,-0.00025433893,-0.00040569913
18,-0.00023520303,-0.0001477967,-0.00038299971
19,-0.00019231075,-0.0001775488,-0.00036985957
20,-7.137764e-05,-0.00028498025,-0.0003563579
21,-5.833291e-05,-0.00024774487,-0.00030607777
22,-4.7643105e-05,-0.0002034573,-0.0002511004
23,-4.180502e-05,-0.00016781081,-0.00020961583
