local_hour,Qstor,Total
0,0.05556151463032054,0.05556151463032054
1,0.055734833855068625,0.055734833855068625
2,0.05868096488066153,0.05868096488066153
3,0.06080402462544732,0.06080402462544732
4,0.06113302459527351,0.06113302459527351
5,0.054785284702740154,0.054785284702740154
6,0.03227353243149912,0.03227353243149912
7,-0.015180665704580532,-0.015180665704580532
8,-0.02674322231972302,-0.02674322231972302
9,-0.028934430124075247,-0.028934430124075247
10,-0.037055055672130396,-0.037055055672130396
11,-0.026148559032606468,-0.026148559032606468
12,-0.016905215326093154,-0.016905215326093154
13,-0.012567194619607393,-0.012567194619607393
14,-0.009574451306216715,-0.009574451306216715
15,-0.004099964316820967,-0.004099964316820967
16,0.0008846122270614426,0.0008846122270614426
17,0.0033875596923002636,0.0033875596923002636
18,0.016390810168053303,0.016390810168053303
19,0.03507154692547024,0.03507154692547024
20,0.04337826760651152,0.04337826760651152
21,0.048660396632530516,0.048660396632530516
22,0.05149794998060056,0.05149794998060056
23,0.05339008861271994,0.05339008861271994
