local_hour,U10,Total
0,-0.05393094786121684,-0.05393094786121684
1,-0.05253797670904464,-0.05253797670904464
2,-0.053210927594818644,-0.053210927594818644
3,-0.050518156198231974,-0.050518156198231974
4,-0.03649007045182786,-0.03649007045182786
5,-0.0057331657654745745,-0.0057331657654745745
6,0.031035816221809016,0.031035816221809016
7,0.06519950031752154,0.06519950031752154
8,0.07094959893995617,0.07094959893995617
9,0.0376326672838469,0.0376326672838469
10,0.007983084563067228,0.007983084563067228
11,-0.005760470788303821,-0.005760470788303821
12,-0.0120576143672861,-0.0120576143672861
13,-0.016538755788722544,-0.016538755788722544
14,-0.023490336706960976,-0.023490336706960976
15,-0.0268237027368601,-0.0268237027368601
16,-0.028991962518186996,-0.028991962518186996
17,-0.028799049994701995,-0.028799049994701995
18,-0.026110942365497238,-0.026110942365497238
19,-0.0429073249856029,-0.0429073249856029
20,-0.053992552807110544,-0.053992552807110544
21,-0.056904872152179854,-0.056904872152179854
22,-0.05688996420012788,-0.05688996420012788
23,-0.05532559624169225,-0.05532559624169225
