local_hour,FSH,Total
0,-0.02714129020147201,-0.02714129020147201
1,-0.02746588128446619,-0.02746588128446619
2,-0.026810348727763895,-0.026810348727763895
3,-0.026085389088559143,-0.026085389088559143
4,-0.026177352488564426,-0.026177352488564426
5,-0.018057601788708463,-0.018057601788708463
6,-0.005298794061149916,-0.005298794061149916
7,-0.0013643816628219276,-0.0013643816628219276
8,0.008598451421819336,0.008598451421819336
9,0.02132246262653298,0.02132246262653298
10,0.024943671161581436,0.024943671161581436
11,0.014847804720254806,0.014847804720254806
12,0.013482648438189384,0.013482648438189384
13,0.010296569761052147,0.010296569761052147
14,0.009811904349361423,0.009811904349361423
15,0.008939820936784349,0.008939820936784349
16,0.008391870174082583,0.008391870174082583
17,0.00819599197352782,0.00819599197352782
18,0.005819631107098015,0.005819631107098015
19,-0.014525966168388513,-0.014525966168388513
20,-0.02688628071853836,-0.02688628071853836
21,-0.02754830765646892,-0.02754830765646892
22,-0.028023082350171095,-0.028023082350171095
23,-0.027234023155243203,-0.027234023155243203
