local_hour,Qstor,Total
0,0.01084985532427678,0.01084985532427678
1,0.011106050759634587,0.011106050759634587
2,0.01160542828717561,0.01160542828717561
3,0.011955023918742525,0.011955023918742525
4,0.011646717762907755,0.011646717762907755
5,0.0093931234633673,0.0093931234633673
6,0.005941987663012712,0.005941987663012712
7,-0.006731599335055899,-0.006731599335055899
8,-0.008906805555408761,-0.008906805555408761
9,-0.00783400724691784,-0.00783400724691784
10,-0.009494398672097205,-0.009494398672097205
11,-0.006700219126891625,-0.006700219126891625
12,-0.004104829489480235,-0.004104829489480235
13,-0.0027485270398680626,-0.0027485270398680626
14,-0.0019968271991672505,-0.0019968271991672505
15,-0.0009642152440784149,-0.0009642152440784149
16,0.0005526168318387169,0.0005526168318387169
17,0.0011617699703122732,0.0011617699703122732
18,0.003612211429738518,0.003612211429738518
19,0.006581380487846554,0.006581380487846554
20,0.007123080398033735,0.007123080398033735
21,0.008390921844758661,0.008390921844758661
22,0.009592793427746237,0.009592793427746237
23,0.009947760315706274,0.009947760315706274
