local_hour,Double_Differencing_Q2M,hw_nohw_diff_Q2M,Total
0,2.8844485e-07,-0.00033384617,-0.00033355772
1,-2.2942206e-06,-0.00033515523,-0.00033744946
2,-8.3045825e-06,-0.00037052302,-0.0003788276
3,-1.42764e-05,-0.00041038345,-0.00042465984
4,-1.4289427e-05,-0.0004589458,-0.00047323524
5,-1.4569691e-05,-0.00047181005,-0.00048637975
6,-8.249214e-05,-0.00038786314,-0.00047035527
7,-0.0002267135,-0.00025772327,-0.00048443675
8,-0.00044530086,-6.614597e-05,-0.00051144685
9,-0.00035333162,-0.00016673328,-0.0005200649
10,-0.0001770397,-0.00035333776,-0.0005303775
11,-0.00010445488,-0.00044296187,-0.00054741674
12,-4.0178133e-05,-0.00053818,-0.00057835813
13,2.04634e-05,-0.00062019035,-0.0005997269
14,7.1045426e-05,-0.0006716013,-0.00060055585
15,0.00010141314,-0.00069158187,-0.00059016875
16,0.000112385,-0.00069006195,-0.0005776769
17,8.669338e-05,-0.00062621536,-0.000539522
18,4.3622564e-05,-0.0005315898,-0.00048796722
19,-4.9984246e-06,-0.0004487868,-0.00045378524
20,5.3135923e-06,-0.00042119893,-0.00041588533
21,7.165413e-06,-0.00039031275,-0.00038314733
22,4.704306e-06,-0.00035850707,-0.00035380275
23,4.397128e-06,-0.0003371266,-0.00033272948
