local_hour,FIRA,Total
0,0.015785033535584258,0.015785033535584258
1,0.020185920157391547,0.020185920157391547
2,0.024986354446370443,0.024986354446370443
3,0.026107516254495144,0.026107516254495144
4,0.02022999180876243,0.02022999180876243
5,0.011960953694819282,0.011960953694819282
6,-0.0029827080982425427,-0.0029827080982425427
7,-0.018864400561157884,-0.018864400561157884
8,-0.02065105414502211,-0.02065105414502211
9,-0.02761571340609028,-0.02761571340609028
10,-0.012535219160488885,-0.012535219160488885
11,-0.007522939958008539,-0.007522939958008539
12,-0.009554050891640528,-0.009554050891640528
13,-0.007886768725615704,-0.007886768725615704
14,-0.005779345655665079,-0.005779345655665079
15,-0.00448825469660113,-0.00448825469660113
16,-0.0010795337623944743,-0.0010795337623944743
17,-0.000416001876871491,-0.000416001876871491
18,0.0018321286471073889,0.0018321286471073889
19,0.011142572750023286,0.011142572750023286
20,0.01982277537965886,0.01982277537965886
21,0.021828013901793446,0.021828013901793446
22,0.021865978742134543,0.021865978742134543
23,0.01812002216852899,0.01812002216852899
