local_hour,Qstor,Total
0,-0.021403126160048868,-0.021403126160048868
1,-0.023149397694084774,-0.023149397694084774
2,-0.024626316755135564,-0.024626316755135564
3,-0.026273068946341262,-0.026273068946341262
4,-0.0281846619769058,-0.0281846619769058
5,-0.028075856107483563,-0.028075856107483563
6,-0.018335109280405604,-0.018335109280405604
7,-0.010352037891775114,-0.010352037891775114
8,-0.0058919333968076235,-0.0058919333968076235
9,0.0028243365399477772,0.0028243365399477772
10,0.00494963130296727,0.00494963130296727
11,0.002862217487606885,0.002862217487606885
12,0.002081836146201646,0.002081836146201646
13,0.0015995916189848905,0.0015995916189848905
14,0.001248352971229685,0.001248352971229685
15,0.0010827204329217697,0.0010827204329217697
16,0.0008695110834686195,0.0008695110834686195
17,0.0007867319570182929,0.0007867319570182929
18,-0.0016322849436330798,-0.0016322849436330798
19,-0.014274901072710164,-0.014274901072710164
20,-0.016400447057791537,-0.016400447057791537
21,-0.019722247745528658,-0.019722247745528658
22,-0.020243325563985014,-0.020243325563985014
23,-0.021370110191666992,-0.021370110191666992
