local_hour,FGR,Total
0,0.0017029341681452988,0.0017029341681452988
1,0.0005770532187214514,0.0005770532187214514
2,9.892531379659321e-05,9.892531379659321e-05
3,-0.00027301256023250643,-0.00027301256023250643
4,-0.00044524269083292395,-0.00044524269083292395
5,0.006088441884252099,0.006088441884252099
6,0.006856838663400884,0.006856838663400884
7,-0.0016362109692189064,-0.0016362109692189064
8,-0.008997308941231378,-0.008997308941231378
9,-0.012392959910901901,-0.012392959910901901
10,-0.007082471383419181,-0.007082471383419181
11,-0.0032396308202311576,-0.0032396308202311576
12,-0.0017241154009866725,-0.0017241154009866725
13,-0.0016486346097164823,-0.0016486346097164823
14,-0.0010197479765595993,-0.0010197479765595993
15,-0.0013617752643250063,-0.0013617752643250063
16,-0.0012329268440903734,-0.0012329268440903734
17,0.0007066404568409365,0.0007066404568409365
18,0.006929716361741652,0.006929716361741652
19,0.0133843815811934,0.0133843815811934
20,0.006998311729865531,0.006998311729865531
21,0.00294324096938172,0.00294324096938172
22,0.0021534626605569304,0.0021534626605569304
23,0.0019387665691910274,0.0019387665691910274
