local_hour,Q2M,Total
0,0.001676799126585572,0.001676799126585572
1,0.0021501393752840817,0.0021501393752840817
2,0.0015279390043889066,0.0015279390043889066
3,0.0013664635755217423,0.0013664635755217423
4,0.002831881243598247,0.002831881243598247
5,0.00376918884223266,0.00376918884223266
6,0.009746212118660787,0.009746212118660787
7,0.007299299502156296,0.007299299502156296
8,0.0049959557717975615,0.0049959557717975615
9,0.007754096505813026,0.007754096505813026
10,0.012455374998010792,0.012455374998010792
11,0.0066023648761448,0.0066023648761448
12,0.0063327205957131065,0.0063327205957131065
13,0.0026099406024717147,0.0026099406024717147
14,0.0018376959925888734,0.0018376959925888734
15,0.002793330204659576,0.002793330204659576
16,0.003439105494971839,0.003439105494971839
17,0.006838186941604464,0.006838186941604464
18,0.007463115667085456,0.007463115667085456
19,-0.0013375055876017937,-0.0013375055876017937
20,-0.001970949932831161,-0.001970949932831161
21,0.003010036829768719,0.003010036829768719
22,0.0010187305537924015,0.0010187305537924015
23,0.0012097297043824405,0.0012097297043824405
