local_hour,FIRA,Total
0,0.0867835029643463,0.0867835029643463
1,0.08476138879645012,0.08476138879645012
2,0.0801343143229147,0.0801343143229147
3,0.07524775204923158,0.07524775204923158
4,0.07009499672013096,0.07009499672013096
5,0.08710953870219733,0.08710953870219733
6,0.050838539034317835,0.050838539034317835
7,0.08852188974792478,0.08852188974792478
8,0.10827198052414529,0.10827198052414529
9,0.01930658752889662,0.01930658752889662
10,-0.04650423786423544,-0.04650423786423544
11,-0.02021614074586268,-0.02021614074586268
12,-0.008694346714598494,-0.008694346714598494
13,-0.009557690836586677,-0.009557690836586677
14,-0.001411783589116326,-0.001411783589116326
15,0.020324684991853654,0.020324684991853654
16,0.03968847567118749,0.03968847567118749
17,0.045565153747450585,0.045565153747450585
18,0.05110999821020829,0.05110999821020829
19,0.032701476472636055,0.032701476472636055
20,0.060120120488194526,0.060120120488194526
21,0.0749765117263548,0.0749765117263548
22,0.08630671398849064,0.08630671398849064
23,0.08766332799746251,0.08766332799746251
