local_hour,FSA,Total
0,9.132506132754723e-05,9.132506132754723e-05
1,9.024362736456915e-05,9.024362736456915e-05
2,-4.517765786675727e-05,-4.517765786675727e-05
3,-0.0013426732147418313,-0.0013426732147418313
4,-0.009450970954237846,-0.009450970954237846
5,-0.02808903168900455,-0.02808903168900455
6,-0.03890275288123127,-0.03890275288123127
7,-0.028702296039634166,-0.028702296039634166
8,-0.019428466280419315,-0.019428466280419315
9,0.007077447028520071,0.007077447028520071
10,-0.00863463913427768,-0.00863463913427768
11,-0.010186151649054679,-0.010186151649054679
12,-0.004415853894919151,-0.004415853894919151
13,-0.0014076868554276948,-0.0014076868554276948
14,-0.005744219515910927,-0.005744219515910927
15,-0.006152063440843162,-0.006152063440843162
16,-0.006660528616742463,-0.006660528616742463
17,-0.011408406964356459,-0.011408406964356459
18,-0.01703015128872861,-0.01703015128872861
19,0.00569813594413002,0.00569813594413002
20,0.0069560641936399084,0.0069560641936399084
21,-0.0007338436083970954,-0.0007338436083970954
22,0.0002922480297452963,0.0002922480297452963
23,0.00019456617077389952,0.00019456617077389952
