local_hour,HEAT_FROM_AC,Total
0,-8.111666882360071e-05,-8.111666882360071e-05
1,4.339103799795345e-05,4.339103799795345e-05
2,9.534762224880167e-05,9.534762224880167e-05
3,-4.9881744577562115e-05,-4.9881744577562115e-05
4,-0.00016224730711927963,-0.00016224730711927963
5,-0.0006260326177151372,-0.0006260326177151372
6,-0.0006951684733727966,-0.0006951684733727966
7,-0.0002631397615870322,-0.0002631397615870322
8,-0.0009482248581951163,-0.0009482248581951163
9,-0.0007620516731238996,-0.0007620516731238996
10,-5.7427211843868786e-05,-5.7427211843868786e-05
11,0.00018611310395338712,0.00018611310395338712
12,0.0003209490904157121,0.0003209490904157121
13,0.00039507257166956553,0.00039507257166956553
14,7.663902802396059e-05,7.663902802396059e-05
15,0.00020899719650995094,0.00020899719650995094
16,0.0004059236920712175,0.0004059236920712175
17,3.3974175173678104e-05,3.3974175173678104e-05
18,-0.0008959394000113041,-0.0008959394000113041
19,-0.0019991768867703716,-0.0019991768867703716
20,-0.0007370322484531285,-0.0007370322484531285
21,1.8548753626874325e-05,1.8548753626874325e-05
22,0.0002553734537356972,0.0002553734537356972
23,0.00011022887270749416,0.00011022887270749416
