local_hour,Double_Differencing_Q2M,hw_nohw_diff_Q2M,Total
0,-2.2241959e-05,-0.001904387,-0.001926629
1,-2.1038062e-05,-0.0018164829,-0.001837521
2,-1.9382389e-05,-0.0018152798,-0.0018346622
3,-1.5272157e-05,-0.0017690883,-0.0017843605
4,-1.5331156e-05,-0.0017224052,-0.0017377364
5,-1.2214611e-05,-0.0018735334,-0.001885748
6,-0.00011177121,-0.0018819179,-0.0019936892
7,-0.00039577478,-0.0017299089,-0.0021256837
8,-0.00060842093,-0.0017529062,-0.0023613272
9,-0.0006044688,-0.0019286653,-0.002533134
10,-0.00044405425,-0.0022777205,-0.0027217749
11,-0.00029786947,-0.0025780927,-0.0028759623
12,-0.00020733997,-0.0028376214,-0.0030449613
13,-0.00016065323,-0.0030918848,-0.003252538
14,-0.000117295654,-0.0031622958,-0.0032795914
15,-0.000121767,-0.0031441038,-0.0032658707
16,-0.00016475083,-0.0030765391,-0.0032412899
17,-0.00018937231,-0.0028711248,-0.003060497
18,-0.00019746555,-0.0026244505,-0.002821916
19,-8.324988e-05,-0.0024799898,-0.0025632395
20,-4.1505664e-05,-0.002346018,-0.0023875237
21,-3.20378e-05,-0.002233018,-0.0022650557
22,-2.7510298e-05,-0.0020920713,-0.0021195817
23,-2.4905192e-05,-0.001991985,-0.00201689
