local_hour,HEAT_FROM_AC,Total
0,-6.941833539944303e-05,-6.941833539944303e-05
1,3.512180624562437e-05,3.512180624562437e-05
2,1.8832072044394215e-05,1.8832072044394215e-05
3,2.6156590456754947e-05,2.6156590456754947e-05
4,-3.586058135752813e-06,-3.586058135752813e-06
5,0.00012797543567675542,0.00012797543567675542
6,-0.00019393694299470307,-0.00019393694299470307
7,-0.00018256802247592146,-0.00018256802247592146
8,-0.0003195700630239534,-0.0003195700630239534
9,-0.00011169700480659074,-0.00011169700480659074
10,3.421693042350149e-05,3.421693042350149e-05
11,-5.064057692982052e-05,-5.064057692982052e-05
12,7.547385282090352e-05,7.547385282090352e-05
13,0.00016161972845998276,0.00016161972845998276
14,0.00011623417387529972,0.00011623417387529972
15,8.279157069053563e-05,8.279157069053563e-05
16,0.00011793637062833017,0.00011793637062833017
17,1.251393259519915e-05,1.251393259519915e-05
18,-0.00011680619390707655,-0.00011680619390707655
19,-0.00038506063519143147,-0.00038506063519143147
20,-8.691755914773321e-05,-8.691755914773321e-05
21,1.2849212943785474e-05,1.2849212943785474e-05
22,0.00012054412142848103,0.00012054412142848103
23,1.3795451276907328e-05,1.3795451276907328e-05
