local_hour,Double_Differencing_Q2M,hw_nohw_diff_Q2M,Total
0,-1.7305036e-05,-0.0003752901,-0.00039259513
1,-1.6875336e-05,-0.00035118175,-0.00036805708
2,-1.6258833e-05,-0.00035882578,-0.0003750846
3,-1.1960359e-05,-0.00034627708,-0.00035823745
4,-5.4544325e-06,-0.00033248647,-0.0003379409
5,-1.9050565e-05,-0.00035233406,-0.0003713846
6,-0.00015870195,-0.0002333337,-0.00039203564
7,-0.0004087656,-3.427369e-05,-0.0004430393
8,-0.00056483486,4.8604445e-05,-0.0005162304
9,-0.00045491476,-0.00010449538,-0.00055941014
10,-0.00027703677,-0.00037392415,-0.00065096095
11,-0.00017831623,-0.0005720898,-0.00075040606
12,-0.00011368897,-0.0007349814,-0.0008486704
13,-6.7906265e-05,-0.00086365273,-0.000931559
14,-4.2044285e-05,-0.0009019659,-0.00094401016
15,-4.845971e-05,-0.0008772381,-0.00092569785
16,-7.804244e-05,-0.0008154217,-0.00089346414
17,-0.00011985335,-0.00069008104,-0.0008099344
18,-0.00017507155,-0.00054355816,-0.0007186297
19,-0.00015445566,-0.00048689806,-0.0006413537
20,-6.843737e-05,-0.0005174366,-0.00058587396
21,-3.4326644e-05,-0.00049752434,-0.00053185096
22,-2.3963687e-05,-0.0004455535,-0.0004695172
23,-1.9374074e-05,-0.0004049692,-0.00042434328
