local_hour,Q2M,Total
0,-0.0019924969471073577,-0.0019924969471073577
1,-0.0019052198236459827,-0.0019052198236459827
2,-0.0021299434451756707,-0.0021299434451756707
3,-0.002141698000705932,-0.002141698000705932
4,-0.0015104773291269298,-0.0015104773291269298
5,-0.0009782702429230981,-0.0009782702429230981
6,0.004358299257048268,0.004358299257048268
7,0.005116091969777714,0.005116091969777714
8,0.012084490926742377,0.012084490926742377
9,0.01611007822586779,0.01611007822586779
10,0.021538643375829482,0.021538643375829482
11,0.01359104806633781,0.01359104806633781
12,0.008053077533941109,0.008053077533941109
13,0.003044041993281498,0.003044041993281498
14,0.0026716906937892066,0.0026716906937892066
15,0.004427320541671222,0.004427320541671222
16,0.004940356559457796,0.004940356559457796
17,0.004087194418240219,0.004087194418240219
18,-0.00408253446041891,-0.00408253446041891
19,-0.010000345774733061,-0.010000345774733061
20,-0.004875165505841537,-0.004875165505841537
21,-0.001789475429653164,-0.001789475429653164
22,-0.003112651167928627,-0.003112651167928627
23,-0.002266195966779732,-0.002266195966779732
