local_hour,U10,Total
0,-0.00990490011265394,-0.00990490011265394
1,-0.009267514441828023,-0.009267514441828023
2,-0.009493849281543629,-0.009493849281543629
3,-0.008439151588986206,-0.008439151588986206
4,-0.0037694236860412716,-0.0037694236860412716
5,0.005553943340505926,0.005553943340505926
6,0.009921591934620357,0.009921591934620357
7,0.019169029718004663,0.019169029718004663
8,0.022144189259519758,0.022144189259519758
9,0.013528125887514095,0.013528125887514095
10,-0.0016419001334121624,-0.0016419001334121624
11,-0.0017700004665249312,-0.0017700004665249312
12,-0.002485657808726678,-0.002485657808726678
13,-0.00322978300773255,-0.00322978300773255
14,-0.0052595586041709035,-0.0052595586041709035
15,-0.006129217287891338,-0.006129217287891338
16,-0.007043812000491145,-0.007043812000491145
17,-0.007065929395777738,-0.007065929395777738
18,-0.006213993048933631,-0.006213993048933631
19,-0.010065714029026727,-0.010065714029026727
20,-0.012159786941195686,-0.012159786941195686
21,-0.01186466205180413,-0.01186466205180413
22,-0.011077939944287785,-0.011077939944287785
23,-0.01017735342142297,-0.01017735342142297
